日期,契約,到期月份(週別),開盤價,最高價,最低價,最後成交價,漲跌價,漲跌%,盤後交易時段成交量,一般交易時段成交量,合計成交量,結算價,未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2026-07-20,TX,202608,43500.0,43500.0,42457.0,42641.0,37.0,0.09,68086,85444,153530,42662.0,107003,42639.0,42645.0,49470.0,41300.0
2026-07-20,TX,202609,43655.0,43726.0,42760.0,42898.0,25.0,0.06,388,539,927,42868.0,2844,42864.0,42873.0,49651.0,24962.0
2026-07-20,TX,202610,44011.0,44011.0,43380.0,43450.0,125.0,0.29,19,7,26,43217.0,41,43211.0,43223.0,46770.0,42891.0
2026-07-20,TX,202612,43901.0,44214.0,43638.0,44214.0,364.0,0.83,13,8,21,43749.0,310,43742.0,43757.0,50228.0,27382.0
2026-07-20,TX,202703,,,,,,,3,0,3,44566.0,116,44557.0,44575.0,50802.0,32400.0
2026-07-20,TX,202706,45480.0,45480.0,45480.0,45480.0,-40.0,-0.09,24,1,25,45372.0,20,45358.0,45387.0,51411.0,45100.0
2026-07-21,TX,202608,43297.0,44404.0,43197.0,44377.0,1715.0,4.02,42192,61234,103426,44375.0,106920,44370.0,44376.0,49470.0,41300.0
2026-07-21,TX,202609,43600.0,44600.0,43447.0,44597.0,1729.0,4.03,301,486,787,44586.0,3138,44583.0,44593.0,49651.0,24962.0
2026-07-21,TX,202610,43834.0,44750.0,43834.0,44747.0,1530.0,3.54,30,12,42,44933.0,53,44928.0,44939.0,46770.0,42891.0
2026-07-21,TX,202612,44827.0,45354.0,44827.0,45300.0,1551.0,3.55,8,7,15,45465.0,309,45459.0,45472.0,50228.0,27382.0
2026-07-21,TX,202703,,,,,,,1,0,1,46279.0,116,46271.0,46289.0,50802.0,32400.0
2026-07-21,TX,202706,46902.0,46902.0,46902.0,46902.0,1530.0,3.37,0,3,3,47081.0,21,47070.0,47093.0,51411.0,45100.0
2026-07-22,TX,202608,45000.0,45364.0,44613.0,44631.0,256.0,0.58,31985,66011,97996,44645.0,103996,44621.0,44627.0,49470.0,41300.0
2026-07-22,TX,202609,45274.0,45566.0,44835.0,44916.0,330.0,0.74,156,359,515,44837.0,3188,44832.0,44843.0,49651.0,24962.0
