日期,股票代號,持股/單位數分級,序,人數,股數/單位數,占集保庫存數比例(%)
2026-06-05,2330,"1,000,001以上",15,1499.0,22151774520,85.42
2026-06-05,2330,"1,000-5,000",2,421284.0,804949222,3.1
2026-06-05,2330,1-999,1,2160807.0,254859798,0.98
2026-06-05,2330,"10,001-15,000",4,16495.0,202611638,0.78
2026-06-05,2330,"100,001-200,000",10,2000.0,280035638,1.07
2026-06-05,2330,"15,001-20,000",5,7708.0,135675555,0.52
2026-06-05,2330,"20,001-30,000",6,7442.0,182365298,0.7
2026-06-05,2330,"200,001-400,000",11,1321.0,369636004,1.42
2026-06-05,2330,"30,001-40,000",7,3509.0,121627861,0.46
2026-06-05,2330,"40,001-50,000",8,2018.0,91019221,0.35
2026-06-05,2330,"400,001-600,000",12,563.0,276059662,1.06
2026-06-05,2330,"5,001-10,000",3,49448.0,354829988,1.36
2026-06-05,2330,"50,001-100,000",9,3997.0,279407327,1.07
2026-06-05,2330,"600,001-800,000",13,348.0,240919588,0.92
2026-06-05,2330,"800,001-1,000,000",14,209.0,186766182,0.72
2026-06-05,2330,合　計,17,2678648.0,25932524521,100.0
2026-06-05,2330,差異數調整（說明4）,16,,-12981,-0.0
2026-06-12,2330,"1,000,001以上",15,1482.0,22091652463,85.18
2026-06-12,2330,"1,000-5,000",2,434344.0,828890964,3.19
2026-06-12,2330,1-999,1,2314613.0,268316829,1.03
2026-06-12,2330,"10,001-15,000",4,16669.0,204608537,0.78
2026-06-12,2330,"100,001-200,000",10,1995.0,279252316,1.07
2026-06-12,2330,"15,001-20,000",5,7840.0,137971294,0.53
2026-06-12,2330,"20,001-30,000",6,7544.0,184834385,0.71
2026-06-12,2330,"200,001-400,000",11,1325.0,370746173,1.42
2026-06-12,2330,"30,001-40,000",7,3550.0,123080202,0.47
2026-06-12,2330,"40,001-50,000",8,2027.0,91419401,0.35
2026-06-12,2330,"400,001-600,000",12,554.0,270535362,1.04
2026-06-12,2330,"5,001-10,000",3,50588.0,362776584,1.39
2026-06-12,2330,"50,001-100,000",9,4028.0,281832960,1.08
2026-06-12,2330,"600,001-800,000",13,344.0,237383143,0.91
2026-06-12,2330,"800,001-1,000,000",14,223.0,199071454,0.76
2026-06-12,2330,合　計,17,2847126.0,25932370067,100.0
2026-06-12,2330,差異數調整（說明4）,16,,-2000,-0.0
2026-06-18,2330,"1,000,001以上",15,1484.0,22100113305,85.22
2026-06-18,2330,"1,000-5,000",2,431365.0,823536228,3.17
2026-06-18,2330,1-999,1,2306149.0,267183521,1.03
2026-06-18,2330,"10,001-15,000",4,16627.0,204063151,0.78
2026-06-18,2330,"100,001-200,000",10,1998.0,279647764,1.07
2026-06-18,2330,"15,001-20,000",5,7823.0,137653077,0.53
2026-06-18,2330,"20,001-30,000",6,7523.0,184336978,0.71
2026-06-18,2330,"200,001-400,000",11,1334.0,374361057,1.44
2026-06-18,2330,"30,001-40,000",7,3547.0,122993695,0.47
2026-06-18,2330,"40,001-50,000",8,2035.0,91839820,0.35
2026-06-18,2330,"400,001-600,000",12,548.0,268864579,1.03
2026-06-18,2330,"5,001-10,000",3,50376.0,361320665,1.39
2026-06-18,2330,"50,001-100,000",9,4018.0,281135311,1.08
2026-06-18,2330,"600,001-800,000",13,342.0,236381592,0.91
2026-06-18,2330,"800,001-1,000,000",14,223.0,198941324,0.76
2026-06-18,2330,合　計,17,2835392.0,25932370067,100.0
2026-06-18,2330,差異數調整（說明4）,16,,-2000,-0.0
2026-06-26,2330,"1,000,001以上",15,1482.0,22072875533,85.11
2026-06-26,2330,"1,000-5,000",2,436608.0,832879585,3.21
2026-06-26,2330,1-999,1,2344648.0,270636726,1.04
2026-06-26,2330,"10,001-15,000",4,16824.0,206436112,0.79
2026-06-26,2330,"100,001-200,000",10,2008.0,281471591,1.08
2026-06-26,2330,"15,001-20,000",5,7898.0,138937505,0.53
2026-06-26,2330,"20,001-30,000",6,7606.0,186372616,0.71
2026-06-26,2330,"200,001-400,000",11,1327.0,372898750,1.43
2026-06-26,2330,"30,001-40,000",7,3561.0,123533016,0.47
2026-06-26,2330,"40,001-50,000",8,2031.0,91648916,0.35
2026-06-26,2330,"400,001-600,000",12,552.0,270219173,1.04
2026-06-26,2330,"5,001-10,000",3,50777.0,364018815,1.4
2026-06-26,2330,"50,001-100,000",9,4047.0,282842631,1.09
