日期,股票代號,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
2026-06-01,2330,60942792,144105259583,2355.0,2415.0,2350.0,2355.0,0.0,136367,
2026-06-02,2330,41532527,98885005900,2390.0,2400.0,2360.0,2380.0,25.0,99496,
2026-06-03,2330,29219904,70861766012,2425.0,2440.0,2410.0,2425.0,45.0,89415,
2026-06-04,2330,32542948,77931338144,2385.0,2415.0,2385.0,2385.0,-40.0,196886,
2026-06-05,2330,43403895,102970368110,2395.0,2405.0,2350.0,2365.0,-20.0,364351,
2026-06-08,2330,52273858,119557290165,2230.0,2320.0,2230.0,2295.0,-70.0,436256,
2026-06-09,2330,38847544,89604249837,2305.0,2320.0,2295.0,2305.0,10.0,156384,
2026-06-10,2330,54194021,123146622990,2285.0,2300.0,2255.0,2255.0,-50.0,510491,
2026-06-11,2330,46417523,104091484739,2240.0,2260.0,2210.0,2250.0,0.0,320151,
2026-06-12,2330,26306885,60666936905,2325.0,2325.0,2290.0,2310.0,60.0,77219,
2026-06-15,2330,30228535,71454258620,2360.0,2375.0,2345.0,2375.0,65.0,96307,
2026-06-16,2330,37145708,88421095704,2375.0,2400.0,2350.0,2400.0,25.0,99659,
2026-06-17,2330,30059393,71151958866,2355.0,2385.0,2350.0,2385.0,-15.0,143625,
2026-06-18,2330,49982610,120198889493,2395.0,2415.0,2385.0,2410.0,25.0,103190,
2026-06-22,2330,45207883,112735082698,2455.0,2510.0,2455.0,2510.0,100.0,159770,
2026-06-23,2330,39537895,99064704659,2510.0,2535.0,2490.0,2490.0,-20.0,148609,
2026-06-24,2330,67304477,162505741547,2435.0,2445.0,2390.0,2390.0,-100.0,527599,
2026-06-25,2330,41099957,98673938497,2410.0,2420.0,2390.0,2390.0,0.0,132387,
2026-06-26,2330,53800344,126177715258,2360.0,2370.0,2325.0,2340.0,-50.0,464927,
2026-06-29,2330,38133782,90337385683,2330.0,2395.0,2330.0,2370.0,30.0,93276,
2026-06-30,2330,49540227,120516271220,2440.0,2475.0,2410.0,2410.0,40.0,104582,
2026-07-01,2330,37544470,93600076825,2495.0,2505.0,2475.0,2505.0,95.0,111091,
2026-07-02,2330,35919290,88369879773,2450.0,2480.0,2445.0,2465.0,-40.0,132697,
2026-07-03,2330,32905868,80082636340,2415.0,2465.0,2415.0,2445.0,-20.0,154750,
2026-07-06,2330,21041918,52022654454,2465.0,2500.0,2455.0,2460.0,15.0,80246,
2026-07-07,2330,31400854,77617188273,2480.0,2500.0,2440.0,2440.0,-20.0,132943,
2026-07-08,2330,25519599,62400639776,2445.0,2465.0,2420.0,2465.0,25.0,94688,
2026-07-09,2330,34681018,84397735035,2450.0,2460.0,2415.0,2415.0,-50.0,201698,
2026-07-13,2330,35310380,86697387632,2460.0,2480.0,2440.0,2440.0,25.0,94215,
2026-07-14,2330,42857055,103370532441,2410.0,2430.0,2390.0,2420.0,-20.0,275423,
2026-07-15,2330,33665566,82213791038,2425.0,2460.0,2415.0,2440.0,20.0,79059,
2026-07-16,2330,30538604,74750491934,2430.0,2470.0,2420.0,2470.0,30.0,97957,
2026-07-17,2330,97362670,229051751965,2375.0,2395.0,2290.0,2290.0,-180.0,1150086,
2026-07-20,2330,55790346,129815956839,2300.0,2345.0,2300.0,2320.0,30.0,188463,
2026-07-21,2330,31605663,75429747048,2350.0,2410.0,2345.0,2410.0,90.0,88066,
2026-07-22,2330,31653123,76206482625,2440.0,2445.0,2385.0,2400.0,-10.0,136194,
2026-07-23,2330,28001492,66833713878,2385.0,2405.0,2370.0,2405.0,5.0,142112,
2026-07-24,2330,24810509,58407263735,2355.0,2365.0,2345.0,2350.0,-55.0,195859,
2026-07-27,2330,28939466,67885214772,2330.0,2365.0,2330.0,2350.0,0.0,92753,
2026-07-28,2330,45333029,103624205064,2270.0,2305.0,2270.0,2280.0,-70.0,463044,
2026-07-29,2330,68139691,151551634905,2260.0,2280.0,2180.0,2200.0,-80.0,675528,
2026-07-30,2330,51372177,114098819878,2205.0,2260.0,2190.0,2205.0,5.0,177492,
2026-07-31,2330,69478145,166661984712,2350.0,2425.0,2345.0,2425.0,220.0,215037,
2026-08-03,2330,35209944,83673350698,2390.0,2395.0,2365.0,2370.0,-55.0,174489,
2026-08-04,2330,41021199,95455231293,2335.0,2360.0,2310.0,2320.0,-50.0,277787,
2026-08-05,2330,36782301,88157683613,2385.0,2415.0,2370.0,2405.0,85.0,119876,
2026-08-06,2330,25536816,60600738669,2395.0,2395.0,2360.0,2365.0,-40.0,89846,
2026-08-07,2330,24414025,57947015347,2390.0,2395.0,2355.0,2370.0,5.0,64670,
2026-08-10,2330,21498241,51385081395,2390.0,2410.0,2380.0,2380.0,10.0,67328,
2026-08-11,2330,18247582,43667182348,2390.0,2405.0,2375.0,2395.0,15.0,50065,
2026-08-12,2330,19448153,46798062170,2405.0,2415.0,2390.0,2415.0,20.0,63548,
2026-08-13,2330,26233385,63854331391,2440.0,2445.0,2425.0,2435.0,20.0,73397,
2026-08-14,2330,21162682,51159731253,2435.0,2440.0,2395.0,2395.0,-40.0,105889,
2026-08-17,2330,13482456,32423014050,2410.0,2420.0,2390.0,2400.0,5.0,56197,
2026-08-18,2330,19997213,47742904360,2415.0,2415.0,2375.0,2380.0,-20.0,102735,
2026-08-19,2330,23618612,55394691541,2340.0,2355.0,2335.0,2350.0,-30.0,193704,
2026-08-20,2330,16967737,40117420293,2365.0,2375.0,2350.0,2375.0,25.0,46361,
2026-08-21,2330,18922480,45275662448,2375.0,2410.0,2365.0,2410.0,35.0,59539,
